date,ACB,GWPH,CRON,CGC,TLRY,APHA
,close,close,close,close,close,close
,,,,,,
11/19/2018,6.09,125.39,8.24,32.77,106.77,9.05
11/20/2018,6.03,121.21,8.2,32.16,104,8.81
11/21/2018,6.25,125.46,8.53,33.74,109.31,8.83
11/23/2018,6.07,124.05,8.81,33.56,116.03,8.84
11/26/2018,5.68,127.7,8.33,31.55,114.14,8.08
11/27/2018,5.5,121.72,8.29,31.7,114,7.74
11/28/2018,5.96,121.53,8.7,34,110.88,8.49
11/29/2018,5.66,122.15,8.91,33.18,107.2,7.93
11/30/2018,5.72,123.02,9.15,33.55,102.45,7.9
12/3/2018,5.69,126.25,10.17,33.33,102.94,6.05
12/4/2018,5.4,127.05,10.74,31.45,100.26,4.51
12/6/2018,5.28,122.72,10.45,30.34,99,5.54
12/7/2018,5.75,124.84,12.72,31.4,100.25,5.23
12/10/2018,5.73,122.78,12.88,31.02,97.14,5.61
12/11/2018,5.93,122.99,12.82,33.16,94.07,6.14
12/12/2018,6.12,125.28,11.92,32.03,84.48,5.81
12/13/2018,5.71,120.86,11.38,30.82,75.52,5.23
12/14/2018,5.86,119.53,11.28,30.92,75.13,5.6
12/17/2018,5.54,119.15,11.13,29.37,65.89,5.43
12/18/2018,5.53,112.81,11.54,29.23,76.5,5.85
12/19/2018,5.29,110.03,11.17,28.1,71,5.4
12/20/2018,5.1,104.11,11.13,27.6,78.3,5.23
12/21/2018,4.88,96.36,10.21,26.22,74.87,4.85
12/24/2018,5,98.05,10.1,26.81,71.38,5.55
12/26/2018,5.08,98.28,10.18,27.36,71.5,5.82
12/27/2018,5.1,94.36,10.32,26.81,71.08,5.57
12/28/2018,5.23,95.4,10.42,27.37,75.15,6.26
12/31/2018,4.96,97.39,10.39,26.87,70.54,5.69
1/2/2019,5.24,101.01,11.31,28.92,70.46,6.01
1/3/2019,5.14,99.69,11.54,28.11,70,5.97
1/4/2019,5.22,108.88,11.78,28.23,69.95,6.04
1/7/2019,5.26,114.66,12.4,28.9,71.9,6.41
1/8/2019,5.03,117.41,12.36,29.64,83.26,6.33
1/9/2019,5.45,119.54,12.98,33.6,79.7,6.79
1/10/2019,5.94,125.34,13.06,37.55,80.4,6.58
1/11/2019,6.38,125.5,13.67,38.25,96,6.92
1/14/2019,6.78,123.93,13.76,42.49,100.15,7.05
1/15/2019,7,128.54,13.05,41.3,82.88,6.7
1/16/2019,7.33,128.61,13.42,42.1,85.61,6.65
1/17/2019,6.57,134.5,13.66,42.77,83.45,6.48
1/18/2019,6.44,137.29,14.9,43.52,77.2,6.68
1/22/2019,6.19,139.26,15.07,43.66,72.8,7.08
1/23/2019,6.19,135.75,14.72,43.45,71.74,6.92
1/24/2019,6.62,138.25,15.7,44.21,73.96,6.94
1/25/2019,6.72,138.56,16.02,48.48,75.35,7.16
1/28/2019,7.1,138.07,18.48,50.77,81.93,7.37
1/29/2019,6.89,135.87,18.15,47.13,79.06,7.27
1/30/2019,6.93,140.44,18.43,48.02,77.48,7.66
1/31/2019,7.09,142.75,19.68,48.98,80.49,8.74
2/1/2019,7.4,146.37,20.81,48.88,81.91,9.62
2/4/2019,8.04,147.03,23.25,49.72,83.07,10.84
2/5/2019,7.9,146.94,21.83,48.64,83.27,10.71
2/6/2019,7.57,144.24,19.65,46.53,78.15,9.7
2/7/2019,7.77,139.11,21.42,46.93,79.99,9.57
2/8/2019,7.59,146.76,19.55,45.47,79.24,9.43
2/11/2019,7.17,144.55,19.44,42.94,75.42,8.38
2/12/2019,7.17,147.53,19.67,43.84,75.94,9.05
2/13/2019,7.25,150.22,20.45,46.05,77.29,9.24
2/14/2019,7.1,151.29,20.82,46.12,76.62,9.09
2/15/2019,7.05,150.49,21.29,47.56,76.49,9.6
2/19/2019,6.93,150.17,21.61,46.39,77.03,9.71
2/20/2019,7.07,145.88,22.23,46.27,81.1,10.15
2/21/2019,7.06,143.95,22.47,45.04,79.2,10.38
2/22/2019,6.96,151.6,21.92,44.54,79.07,10.18
2/25/2019,7.29,150.81,20.25,43.86,77.39,9.69
2/26/2019,7.75,152.89,21.64,46.26,78.8,10.32
2/27/2019,7.54,173.99,21.33,45.75,79.3,10.19
2/28/2019,7.56,172.01,21.64,47.41,81.31,10.36
3/1/2019,7.34,177.34,21.71,47.05,79.51,10.14
3/4/2019,7.22,176.43,21.46,46.8,77.25,10.42
3/5/2019,8.1,172.57,23.7,47.88,76.89,10.37
3/6/2019,7.89,166.22,22.79,46.14,75.86,10.08
3/7/2019,7.58,165.81,22.31,45.13,69.72,9.61
3/8/2019,7.75,163.16,21.74,45.4,70,9.55
3/11/2019,7.95,169.29,20.92,46.01,70,9.76
3/12/2019,7.96,170.97,21.37,46.76,72.15,9.59
3/13/2019,9.07,169.33,21.14,46.08,71.8,9.6
3/14/2019,8.99,166.57,20.82,45.52,72.29,9.52
3/15/2019,9.61,169.32,21,45.89,72.5,9.6
3/18/2019,9.94,168.61,21.69,45.69,72.24,10.24
3/19/2019,9.96,168.11,21.48,46.11,69.79,10.41
3/20/2019,9.81,170.4,21.26,46.87,70.73,10.12
3/21/2019,9.57,176,20.54,46.04,70.25,10.06
3/22/2019,9.03,168.83,19.23,44.38,67.16,9.53
3/25/2019,9.25,165.02,20.53,44.23,67.78,9.66
3/26/2019,9.16,166.96,20.24,44.7,66.95,9.65
3/27/2019,8.83,163.72,18.24,42.89,64.85,9.2
3/28/2019,8.83,164.39,18.84,42.37,65.94,9.17
3/29/2019,9.06,168.57,18.43,43.37,65.52,9.32
4/1/2019,9.18,168.14,18.61,42.48,63.01,9.94
4/2/2019,9.07,165.65,18.26,43.15,63.73,9.8
4/3/2019,8.93,165.05,18.16,43.38,63.38,9.8
4/4/2019,8.95,161.71,18.27,43.31,61.09,9.93
4/5/2019,9.17,165.28,18.4,43.24,59.54,10.08
4/8/2019,9.04,167.54,17.56,42.71,56.68,10
4/9/2019,8.81,168.61,17.7,41.75,56.42,9.67
4/10/2019,9.1,172.32,18.02,42.21,57.05,10.02
4/11/2019,8.88,171.84,16.85,40.08,53.52,9.81
4/12/2019,8.88,167.82,17.04,42.29,52.91,10.1
4/15/2019,8.51,164.39,15.78,40.73,49.24,8.6
4/16/2019,8.88,162.77,15.79,41.68,50.16,8.69
4/17/2019,8.96,155.74,15.92,42.85,50.68,7.82
4/18/2019,9,155.87,15.75,44.56,48.97,7.65
4/22/2019,9.23,161.98,16.86,48.25,51.82,7.86
4/23/2019,9.06,165.56,16.28,47.41,50.26,7.81
4/24/2019,9.11,161.03,16.59,48.37,51.3,7.8
4/25/2019,9.07,162.45,16.52,48.2,51.27,7.66
4/26/2019,9.04,167.4,17.16,49.91,53.15,7.55
4/29/2019,9.06,171.95,17.01,52.03,52.73,7.39
4/30/2019,9.08,169.31,17.16,50.52,51.33,7.63
5/1/2019,9,165.99,17.06,50.68,51.95,7.47
5/2/2019,8.78,173.16,16.68,48.46,50.23,7.13
5/3/2019,8.79,175.5,16.57,49.08,50.22,6.94
5/6/2019,8.88,180.09,16.34,49.2,49.79,6.89
5/7/2019,8.6,182.73,15.44,47.55,47.22,6.67
5/8/2019,8.59,185.49,15.46,48.04,46.05,6.94
5/9/2019,8.35,182.76,14.09,46.87,46.4,6.74
5/10/2019,8.35,178.31,15.4,47.48,49.85,7.22
5/13/2019,8.02,173.06,14.25,43.76,46.47,6.76
5/14/2019,8.38,176.84,15.24,45.3,48.74,6.95
5/15/2019,8.68,178.98,15.15,45.4,48.9,7.03
5/16/2019,8.89,180.6,15.18,45.05,47.59,6.93
5/17/2019,8.68,175.05,14.93,44.61,45.66,6.83
5/20/2019,8.49,178.88,14.75,43.27,44.18,6.63
5/21/2019,8.66,184,15.6,44.99,44.58,6.83
5/22/2019,8.61,187.21,16.13,46.02,46.24,6.74
5/23/2019,8.25,184.69,15.37,44.56,44.79,6.41
5/24/2019,8.31,183.62,15.38,44.42,43.88,7.35
5/28/2019,8.33,181.22,15.65,44.64,42.76,7.24
5/29/2019,8.12,181.01,15.24,42.48,40.84,7
5/30/2019,8,176.53,14.9,42.18,39.12,6.91
5/31/2019,7.59,173.24,14.08,40.26,38.01,6.59
6/3/2019,7.16,175.64,13.58,38.73,34.66,6.33
6/4/2019,7.87,181.19,14.42,41,36.5,6.82
6/5/2019,7.73,177.99,15.99,40.83,35.59,6.71
6/6/2019,7.53,175.74,15.77,41.4,35.7,6.89
6/7/2019,7.64,171.74,15.94,42.19,38.8,7.27
6/10/2019,7.94,174.37,17.39,43.76,43.14,7.44
6/11/2019,7.78,178.21,16.97,42.95,40.49,7.35
6/12/2019,7.75,176.71,17.1,42.84,41.82,7.23
6/13/2019,7.57,175.74,16.36,41.86,40.7,6.96
6/14/2019,7.56,170.88,15.44,41.18,39.01,6.79
6/17/2019,7.6,170.32,15.85,41.87,40.41,6.87
6/18/2019,7.56,176,15.71,42.04,41.05,6.81
6/19/2019,7.48,175.82,15.85,42.77,45.47,6.74
6/20/2019,7.44,175.8,16.43,43.71,49.71,6.72
6/21/2019,7.3,173.63,15.94,40.16,50.45,6.73
6/24/2019,7.51,172.27,16.09,40.57,48.03,7.11
6/25/2019,7.46,171.79,15.79,39.77,46.81,6.92
6/26/2019,7.63,168.7,15.87,39.73,47.2,6.98
6/27/2019,7.83,170.2,15.97,40.66,46.35,7.07
6/28/2019,7.82,172.39,15.98,40.31,46.56,7.01
7/1/2019,7.83,172.64,16.02,40.59,49.3,6.98
7/2/2019,7.63,170.84,15.51,40.08,47.39,6.84
7/3/2019,7.68,175.77,15.24,41.06,47.74,6.9
7/5/2019,7.54,172,15.29,40.16,46.98,6.85
7/8/2019,7.44,173.15,15.1,39.48,45.45,6.75
7/9/2019,7.34,177.82,15.53,39.12,45.15,6.75
7/10/2019,7.39,172.7,15.29,38.6,45.93,6.64
7/11/2019,7.18,174.63,15.15,37.09,45.19,6.55
7/12/2019,6.77,172.45,14.24,34.21,43.34,6.22
7/15/2019,7.01,167.66,14.88,35.17,44.22,6.29
7/16/2019,7.16,166.24,14.94,35.56,44.41,6.3
7/17/2019,7.41,163,14.99,36.59,44.25,6.56
7/18/2019,6.95,166.01,14.96,35.8,43.41,6.45
7/19/2019,6.84,165.46,14.97,35.49,43.59,6.39
7/22/2019,6.73,163.11,14.69,34.85,42.2,6.17
7/23/2019,6.66,161.43,15.37,35.52,42.97,6.17
7/24/2019,6.55,161.94,15.43,35.41,42.98,6.07
7/25/2019,6.49,161.1,14.97,35.08,41.83,5.84
7/26/2019,6.41,166.31,14.9,34.82,42.09,5.5
7/29/2019,6.21,165.91,14.25,33.5,40.64,5.35
7/30/2019,6.25,164.05,13.92,33.2,40.76,5.5
7/31/2019,6.25,162.3,13.81,32.64,40.82,5.38
8/1/2019,5.85,157.69,12.73,31.18,40.35,5.2
8/2/2019,6.33,155.72,13.84,32.71,43.24,7.33
8/5/2019,6.19,151.31,13.42,31.38,42.29,7.03
8/6/2019,6.83,152.42,13.81,32.39,42.53,7.18
8/7/2019,6.62,166.37,14.43,32.21,41.93,6.86
8/8/2019,6.64,169.5,13.89,32.86,43.89,6.7
8/9/2019,6.54,166.98,13.36,32.9,42.57,6.34
8/12/2019,6.59,159.38,13.25,32.87,42.46,6.56
8/13/2019,6.66,159.82,13.92,34.2,46.02,6.92
8/14/2019,6.09,155.12,13.27,31.93,39.04,6.39
8/15/2019,5.67,152.92,12.17,27.34,35.12,5.96
8/16/2019,5.99,154.19,12.11,28.11,31.31,6.18
8/19/2019,5.84,154.17,11.86,26.72,29.93,6.24
8/20/2019,5.93,150.85,11.75,27.22,29.3,6.25
8/21/2019,5.84,152.86,12,26.57,32.34,6.58
8/22/2019,5.79,147.35,11.58,25.13,29.01,6.51
8/23/2019,5.64,145.46,11.4,24.89,28.29,6.56
8/26/2019,5.8,140.27,11.54,25.04,28.2,6.41
8/27/2019,5.57,138.08,11.02,23.49,26.49,5.99
8/28/2019,5.58,139.41,11.14,24.2,27.2,6.22
8/29/2019,5.55,142.47,11.06,24.13,26.74,6.45
8/30/2019,5.5,142.41,11.02,23.58,25.67,6.26
9/3/2019,5.67,142.94,11.3,24.88,30.1,6.48
9/4/2019,5.59,133.91,11.04,24.58,30,6.74
9/5/2019,5.86,136.52,11.58,26.4,32.08,6.85
9/6/2019,6.08,139.44,11.93,27.66,32.06,7.06
9/9/2019,6.01,135.26,11.31,27.23,30.15,6.8
9/10/2019,6.28,142.3,11.73,27.43,31.13,6.99
9/11/2019,6.49,150.26,11.54,27.4,30.71,6.9
9/12/2019,5.89,142.42,11.38,26.53,30.57,6.65
9/13/2019,5.95,141.01,11.53,27.46,31.65,6.72
9/16/2019,5.45,137.03,11.45,27.76,30.79,6.61
9/17/2019,5.27,137.64,11.15,28.37,30.5,6.23
9/18/2019,5.27,135.72,10.96,28.79,30.48,6.28
9/19/2019,5.16,134.91,10.23,26.34,29.96,6.05
9/20/2019,5.02,128.92,10.29,25.56,29,6.16
