,ACB,GWPH,CRON,CGC,TLRY,APHA
,close,close,close,close,close,close
date,,,,,,
2019-03-19,9.96,168.11,21.48,46.11,69.79,10.41
2019-03-20,9.81,170.4,21.26,46.87,70.73,10.12
2019-03-21,9.57,176.0,20.54,46.04,70.25,10.06
2019-03-22,9.03,168.83,19.23,44.38,67.16,9.53
2019-03-25,9.25,165.02,20.53,44.23,67.78,9.66
2019-03-26,9.16,166.96,20.24,44.7,66.95,9.65
2019-03-27,8.83,163.72,18.24,42.89,64.85,9.2
2019-03-28,8.83,164.39,18.84,42.37,65.94,9.17
2019-03-29,9.06,168.57,18.43,43.37,65.52,9.32
2019-04-01,9.18,168.14,18.61,42.48,63.01,9.94
2019-04-02,9.07,165.65,18.26,43.15,63.73,9.8
2019-04-03,8.93,165.05,18.16,43.38,63.38,9.8
2019-04-04,8.95,161.71,18.27,43.31,61.09,9.93
2019-04-05,9.17,165.28,18.4,43.24,59.54,10.08
2019-04-08,9.04,167.54,17.56,42.71,56.68,10.0
2019-04-09,8.81,168.61,17.7,41.75,56.42,9.67
2019-04-10,9.1,172.32,18.02,42.21,57.05,10.02
2019-04-11,8.88,171.84,16.85,40.08,53.52,9.81
2019-04-12,8.88,167.82,17.04,42.29,52.91,10.1
2019-04-15,8.51,164.39,15.78,40.73,49.24,8.6
2019-04-16,8.88,162.77,15.79,41.68,50.16,8.69
2019-04-17,8.96,155.74,15.92,42.85,50.68,7.82
2019-04-18,9.0,155.87,15.75,44.56,48.97,7.65
2019-04-22,9.23,161.98,16.86,48.25,51.82,7.86
2019-04-23,9.06,165.56,16.28,47.41,50.26,7.81
2019-04-24,9.11,161.03,16.59,48.37,51.3,7.8
2019-04-25,9.07,162.45,16.52,48.2,51.27,7.66
2019-04-26,9.04,167.4,17.16,49.91,53.15,7.55
2019-04-29,9.06,171.95,17.01,52.03,52.73,7.39
2019-04-30,9.08,169.31,17.16,50.52,51.33,7.63
2019-05-01,9.0,165.99,17.06,50.68,51.95,7.47
2019-05-02,8.78,173.16,16.68,48.46,50.23,7.13
2019-05-03,8.79,175.5,16.57,49.08,50.22,6.94
2019-05-06,8.88,180.09,16.34,49.2,49.79,6.89
2019-05-07,8.6,182.73,15.44,47.55,47.22,6.67
2019-05-08,8.59,185.49,15.46,48.04,46.05,6.94
2019-05-09,8.35,182.76,14.09,46.87,46.4,6.74
2019-05-10,8.35,178.31,15.4,47.48,49.85,7.22
2019-05-13,8.02,173.06,14.25,43.76,46.47,6.76
2019-05-14,8.38,176.84,15.24,45.3,48.74,6.95
2019-05-15,8.68,178.98,15.15,45.4,48.9,7.03
2019-05-16,8.89,180.6,15.18,45.05,47.59,6.93
2019-05-17,8.68,175.05,14.93,44.61,45.66,6.83
2019-05-20,8.49,178.88,14.75,43.27,44.18,6.63
2019-05-21,8.66,184.0,15.6,44.99,44.58,6.83
2019-05-22,8.61,187.21,16.13,46.02,46.24,6.74
2019-05-23,8.25,184.69,15.37,44.56,44.79,6.41
2019-05-24,8.31,183.62,15.38,44.42,43.88,7.35
2019-05-28,8.33,181.22,15.65,44.64,42.76,7.24
2019-05-29,8.12,181.01,15.24,42.48,40.84,7.0
2019-05-30,8.0,176.53,14.9,42.18,39.12,6.91
2019-05-31,7.59,173.24,14.08,40.26,38.01,6.59
2019-06-03,7.16,175.64,13.58,38.73,34.66,6.33
2019-06-04,7.87,181.19,14.42,41.0,36.5,6.82
2019-06-05,7.73,177.99,15.99,40.83,35.59,6.71
2019-06-06,7.53,175.74,15.77,41.4,35.7,6.89
2019-06-07,7.64,171.74,15.94,42.19,38.8,7.27
2019-06-10,7.94,174.37,17.39,43.76,43.14,7.44
2019-06-11,7.78,178.21,16.97,42.95,40.49,7.35
2019-06-12,7.75,176.71,17.1,42.84,41.82,7.23
2019-06-13,7.57,175.74,16.36,41.86,40.7,6.96
2019-06-14,7.56,170.88,15.44,41.18,39.01,6.79
2019-06-17,7.6,170.32,15.85,41.87,40.41,6.87
2019-06-18,7.56,176.0,15.71,42.04,41.05,6.81
2019-06-19,7.48,175.82,15.85,42.77,45.47,6.74
2019-06-20,7.44,175.8,16.43,43.71,49.71,6.72
2019-06-21,7.3,173.63,15.94,40.16,50.45,6.73
2019-06-24,7.51,172.27,16.09,40.57,48.03,7.11
2019-06-25,7.46,171.79,15.79,39.77,46.81,6.92
2019-06-26,7.63,168.7,15.87,39.73,47.2,6.98
2019-06-27,7.83,170.2,15.97,40.66,46.35,7.07
2019-06-28,7.82,172.39,15.98,40.31,46.56,7.01
2019-07-01,7.83,172.64,16.02,40.59,49.3,6.98
2019-07-02,7.63,170.84,15.51,40.08,47.39,6.84
2019-07-03,7.68,175.77,15.24,41.06,47.74,6.9
2019-07-05,7.54,172.0,15.29,40.16,46.98,6.85
2019-07-08,7.44,173.15,15.1,39.48,45.45,6.75
2019-07-09,7.34,177.82,15.53,39.12,45.15,6.75
2019-07-10,7.39,172.7,15.29,38.6,45.93,6.64
2019-07-11,7.18,174.63,15.15,37.09,45.19,6.55
2019-07-12,6.77,172.45,14.24,34.21,43.34,6.22
2019-07-15,7.01,167.66,14.88,35.17,44.22,6.29
2019-07-16,7.16,166.24,14.94,35.56,44.41,6.3
2019-07-17,7.41,163.0,14.99,36.59,44.25,6.56
2019-07-18,6.95,166.01,14.96,35.8,43.41,6.45
2019-07-19,6.84,165.46,14.97,35.49,43.59,6.39
2019-07-22,6.73,163.11,14.69,34.85,42.2,6.17
2019-07-23,6.66,161.43,15.37,35.52,42.97,6.17
2019-07-24,6.55,161.94,15.43,35.41,42.98,6.07
2019-07-25,6.49,161.1,14.97,35.08,41.83,5.84
2019-07-26,6.41,166.31,14.9,34.82,42.09,5.5
2019-07-29,6.21,165.91,14.25,33.5,40.64,5.35
2019-07-30,6.25,164.05,13.92,33.2,40.76,5.5
2019-07-31,6.25,162.3,13.81,32.64,40.82,5.38
2019-08-01,5.85,157.69,12.73,31.18,40.35,5.2
2019-08-02,6.33,155.72,13.84,32.71,43.24,7.33
2019-08-05,6.19,151.31,13.42,31.38,42.29,7.03
2019-08-06,6.83,152.42,13.81,32.39,42.53,7.18
2019-08-07,6.62,166.37,14.43,32.21,41.93,6.86
2019-08-08,6.64,169.5,13.89,32.86,43.89,6.7
2019-08-09,6.54,166.98,13.36,32.9,42.57,6.34
2019-08-12,6.59,159.38,13.25,32.87,42.46,6.56
2019-08-13,6.66,159.82,13.92,34.2,46.02,6.92
2019-08-14,6.09,155.12,13.27,31.93,39.04,6.39
2019-08-15,5.67,152.92,12.17,27.34,35.12,5.96
2019-08-16,5.99,154.19,12.11,28.11,31.31,6.18
2019-08-19,5.84,154.17,11.86,26.72,29.93,6.24
2019-08-20,5.93,150.85,11.75,27.22,29.3,6.25
2019-08-21,5.84,152.86,12.0,26.57,32.34,6.58
2019-08-22,5.79,147.35,11.58,25.13,29.01,6.51
2019-08-23,5.64,145.46,11.4,24.89,28.29,6.56
2019-08-26,5.8,140.27,11.54,25.04,28.2,6.41
2019-08-27,5.57,138.08,11.02,23.49,26.49,5.99
2019-08-28,5.58,139.41,11.14,24.2,27.2,6.22
2019-08-29,5.55,142.47,11.06,24.13,26.74,6.45
2019-08-30,5.5,142.41,11.02,23.58,25.67,6.26
2019-09-03,5.67,142.94,11.3,24.88,30.1,6.48
2019-09-04,5.59,133.91,11.04,24.58,30.0,6.74
2019-09-05,5.86,136.52,11.58,26.4,32.08,6.85
2019-09-06,6.08,139.44,11.93,27.66,32.06,7.06
2019-09-09,6.01,135.26,11.31,27.23,30.15,6.8
2019-09-10,6.28,142.3,11.73,27.43,31.13,6.99
2019-09-11,6.49,150.26,11.54,27.4,30.71,6.9
2019-09-12,5.89,142.42,11.38,26.53,30.57,6.65
2019-09-13,5.95,141.01,11.53,27.46,31.65,6.72
2019-09-16,5.45,137.03,11.45,27.76,30.79,6.61
2019-09-17,5.27,137.64,11.15,28.37,30.5,6.23
2019-09-18,5.27,135.72,10.96,28.79,30.48,6.28
2019-09-19,5.16,134.91,10.23,26.34,29.96,6.05
2019-09-20,5.02,128.92,10.29,25.56,29.0,6.16
